Id	Text	Label
14651837_4	Ready .... GO !!!	noHate
31713873_1	If i sent you some pic wound use be able to put them up cuz use dont have many also i have lots of links to give use	noHate
30586609_1	ALWAYS SPEAK OUT WHEN IN A CLASS WITH A BRAINWASHING TEACHER BECAUSE ONCE YOU SPEAK OTHERS WHO MAY FEEL THE SAME WAY MAY REALIZE THEY ARE NOT ALONE but if you say nothing then everybody will without question go along with the anti white brainwashing .	noHate
14673212_2	They fit the same DNA as the DNA found in ancient mummies .	noHate
33222250_1	I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .	hate
13481672_2	If they were jew pieces of garbage who the hell cares what happened to them .	hate
13458990_4	http://www.newnation.tv/forums/showthread.php ? t = 207286	noHate
13456820_1	Put that fat Black idiot to work and she would n't be smirking at Whitey and playing stupid for the camera at her welfare review hearing !	hate
13462533_2	I hope this will catch on like the 14 words .	noHate
30560308_2	Such as a person with one arm , wheel chair ect .	noHate
13586816_5	That is how we get happy country .	noHate
14678603_1	I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .	hate
30582420_2	Also notice that the Nig giving the running commentary said nothing about the ' White boy ' a term the Yard Ape will never fail to use when given the chance !	hate
14055056_2	Moby Extreme Ways ( The Bourne Clip ) - YouTube	noHate
12872204_3	It 's close to Finnic and Estonian .	noHate
30954922_2	JAPs are a total hoot , each the center of the universe , loud , brash , vain , arrogant . . .	hate
30451625_3	I went back a cpl years ago and the black vermin were everywhere .	hate
13470937_4	Gatsby Coram & Stoney Westmoreland - FedEx Commercial `` Vacation at home '' - YouTube	noHate
13867005_1	Thanks, ive actually found this to be a very warm and welcoming site , been reading for a few weeks now , thought id register .	noHate
13379594_2	Sub 70 I.Q. I would say for sure .	hate
14670410_2	The only thing Negroes have is wishful want .	hate
14027303_1	Liberals go on about diversity and how we all need it , but they have no problem with two completely different types of people blending together and being the same .	noHate
13854327_1	You cant expect those poor underprivilidged blacks to have to put up with this cold weather .	hate
14023149_1	Yeah they are buying a lot of houses around my area to probz so they can house there massive inbred family when they come over to the UK .	hate
14302798_1	Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .	hate
14671829_8	Tell them we 'll legalize drugs and pedophilia .	hate
30451811_1	It is a total disgrace when tax-payer dollars can go to promoting such degenerate filth .	hate
30415853_1	Hi: I want to share these wonderful videos , very beautiful teachers and great new methods for everybody can easily learn .	noHate
13461331_2	I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .	hate
14103519_2	Wanna talk im or pm me	noHate
13475861_1	i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold	hate
14417385_2	Regurgitation of good info is better than ingestion of jewish-disinformation .	hate
14406574_1	A good solution is that we make a good famous news program where we can show this kind of things , but that 's nearly impossible ..	noHate
14667042_2	In fact , if you buy California fruit , you have tasted illegal alien DNA .	hate
30654383_1	Truth is welcome who ever speaks it .	noHate
13860590_1	i have no problem eating foreign food , what i have a problem is is handing over my money to foreigners. there is no reason you should hate any foods just beacuse some other race found out a nice way to prepare it .	noHate
30640896_2	There are a few schools around here that run women only classes and once school has a six or eight week so called boot camp for women wanting to do krav maga .	noHate
14038785_1	England has been Jew infested for centuries and the BBC is the centre of the Marxist propaganda mill .	hate
31755383_3	You may as well think of it as the blood of an animal .	noHate
14417300_2	Good luck !	noHate
13449604_1	because they deserve at least a taste of it for helping the white liberals and Jews push it on us I do n't think we should allow it to destroy them though .	hate
31779622_2	I certainly hope they live up to their name and have a mostly ( or even better all ) -White team .	noHate
30623715_2	My kids are in a co-op that meets weekly , they attend church activities twice a week , and they are active in sports and other activities .	noHate
30453770_1	You find they are worse since they will able to blend more and fool people into thinking they 're genuine .	hate
30618051_1	If you want to see what having a black , kenyan White-hating muslime in the Whitehouse has created , go look at Tarantino 's latest flick Django Unchained .	hate
14284444_1	Thanks.	noHate
13501185_1	they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?	hate
13511105_6	She became a suspect when two people contacted the Department of Revenue claiming an agency employee requested credit card information when they called to make payments on their accounts .	noHate
30483222_1	You've walked right into it again .	noHate
30754357_1	`Interesting' to see someone of the same radio outfit to praise this figure , while there was an amazing show dedicated to uncovering the facts regarding this anti-German filth .	hate
30500254_14	It 's annoying to live in a time where a subhuman monkey coon thinks it 's okay to hit an Aryan white blond , blue-eyed child .	hate
13496220_2	The only way to deal with these animals is to give them a one way ticket to their filthy pig god .	hate
13861318_1	Quite the opposite in fact .	noHate
30466436_1	I know I keep hoping I wake up one day and this multiracial hell Canada was all just a terrible nightmare , but it never happens .	hate
14106511_1	looking for sisters and brothers to hang out with get to know ...... cant semm to find in in this area ?	noHate
30486700_1	There is no good in reasoning a bitch that is hungry for a dick.Forget her and let her perish in shame after negroid kicks her after a few tries .	hate
30392180_6	The big black females pushed their way into the Houston city counsel meeting and said all of the white teachers they used to have all quit ( do you wonder why ? ) and all you sent us to replace all them teachers was a bunch of dumb blacks .	hate
30457462_1	If I could create a disease that wipes out all Black 's I would .	hate
30622696_1	My 22 pump action long rifle for fun My mosin nagant for hunting My semi automatic 12 gauge for home defense buck shots My browning 1919 for personal side arm My mauser k 98 k scoped for hunting	noHate
30546860_2	White men explored space and landed on the moon and white men sent them there and brought them home safe .	noHate
14057345_6	Mostly they were playing loud kurdish music .	noHate
30546860_3	The thought of Africans in space is laughable .	hate
13470519_1	We spent too much time and effort worrying about Blacks while the Asians and Hispanics , were the ones carrying the ball .	hate
12848217_3	I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .	hate
30680110_2	I do have a few copies of several of the languages around the house , if anyone is interested PM me for details .	noHate
30496402_1	I honestly hate Indians , Muslims , really anything with brown , black or yellow coloured skin I hate .	hate
14418116_1	Yeah, it surprised me .	noHate
14677826_3	We can all put down our torches go home and suck some Jew d@cK JUST LIKE YOU !	hate
14056940_1	Please join the discussions first before posting your pictures .	noHate
30500254_15	Yet my daughter still wants to go outside and play with that thing .	hate
14040105_1	Why do you feel a need to talk about this publicly ?	noHate
12902289_3	On his first day of school , he is tormented by the evil spirited White children .	noHate
30625900_1	I wonder why the Jewish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?	hate
13391410_1	they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy	hate
30620935_2	Francesca Battistelli : Beautiful Beautiful YouTube - Francesca Battistelli - Beautiful , Beautiful ( Video ) Meredith Andrews : You 're Not Alone YouTube - Meredith Andrews - You 're Not Alone ( Music Video )	noHate
14070724_1	Fortunately for Golden Dawn they do n't depend that much on the internet , since they are a grass-roots organization through and through .	noHate
14035723_1	Depending on which part of Scotland you 're going to I might have some bad news for you about the Kaffirs .	hate
13563834_2	The natural royality of the planet was not the posing apes , but the Overman .	hate
30405447_1	This is not good even though it is the truth .	noHate
13858341_1	I disagree you can never justify race mixing Some of them girls may have been brainwashed by media , also you are condemning their kids and furture generations of kids to a non white future .	hate
30461147_1	When the entire non-White world is breathing down your neck waiting for an opportunity to kill you , anything you do to protect yourself is self-defense .	hate
14417300_3	-Yankee Jim	noHate
14099872_2	I am a 23 year old Spanish guy .	noHate
14034808_1	Yes, more homosexual degeneracy foisted upon the silent majority .	hate
14038566_2	From what I hear .	noHate
14661867_1	Correct that is the exact goal of the Elite in North America .	noHate
13601461_2	However I hope we 'll get off our butts before then .	noHate
12854602_2	But I love this song and video so I thought I d post it here since the topic is about him .	noHate
30528425_3	Note that I ca n't guarantee that later editions of this book have such ( or even any ) coverage of word problems .	noHate
12860462_4	They all deserve an ass kicking .	hate
13852694_3	Cowardly scum from the Irish countryside bigging up in army jackets .	hate
30386092_1	I had to change the kids site around a bit Liz ... here is the correct link for the FCKS ... Creative Kids	noHate
30560311_2	I 'm surprised they 're not holding the gun back to front .	hate
13862051_2	They sound so naive , when will they learn that these people do not want to intergrate just accumulate .	hate
14650949_6	Police : Suspect in U.Va. case linked to 2009 homicide Virginia State Police said Monday that a suspect charged in the disappearance of a University of Virginia sophomore is linked through forensic evidence to the abduction and murder of another college student five years ago .	noHate
14073043_1	This gay kill a young bulgarian man to protect some criminal brown gypsy from beating This is the true face of so-called `` anti-racist '' !	hate
13587851_6	21325 white Estonians singing patriotic and just beautiful songs .	noHate
13059807_3	Are there any whites left in that craphole or have they all been killed ?	hate
13846782_1	it is down to the EU.we have no say anymore on any piece of scum coming into the country as long as they have an EU passport	hate
14664558_2	If it continues England will become a cesspool of sh * * pardon my English	hate
14106203_2	???	noHate
14105130_2	Hope to talk to you later .	noHate
30431994_2	I do n't look down on these degrees as much as I used to .	noHate
31765374_1	i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs	hate
12868841_1	I do n't watch any movie that is made for blacks or has a black in the lead roll and I ca n't find humor in the black race with all of the crime they comit against the white man , to hell with them .	hate
14096612_1	So am I , I 'll let them sit there for days before I reply , even if I 'm hanging out here .	noHate
14037300_1	Hiya i 'm new here and sick of watching my country become infected with the disease of multiculturalism .	hate
13473247_5	Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .	hate
13379594_3	Why should we try to civilize that which cannot be domesticated or civil ?	hate
12849464_5	I guess I 'll just stick to homeschooling my kids , when and if I have them ...	noHate
30837533_1	A Kosher slaughter , blessed by every Rabbi under the sun .	hate
30777933_2	Only they do and all their brainwash followers .	hate
13464792_2	Never date outside your race Someone on this site has it on their posts	noHate
14673273_2	Unfortunately for the poor Japanese , their island is getting very crowded now .	noHate
30565018_1	Football by itself is not bad .	noHate
13855496_1	Watching those videos makes me feel like im going to explode with hatred for those creatures .	hate
14414465_1	I saw on news here in Kentucky a few days ago where someone had spray painted `` KKK '' on the side of a black School security officer 's house , they hadnt found who did it but they said it was a possible hate crime .	noHate
14267074_1	That is correct , White men with guns built America , and it will likely take White men with guns to take it back .	noHate
13843729_1	What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .	hate
13492599_1	Well they have got to be more aware then the idiots we have over here absorbing all the bs with there little sponge brains .	hate
30532954_1	The Book of Revelation !	noHate
30424025_1	Their aggressiveness is a massive reason for their ' success ' .	hate
14031187_3	There are London areas that could be described as nothing less than little islamic republics .	hate
14407528_1	Wasn't meaning yo be hard on you or Knightrider1961 .	noHate
13842729_1	With the help of God we will be congratulating an Irish WN Party on their election success in the not so distant future .	noHate
13401479_1	Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them	hate
14651426_3	The blood of hundreds of white women is on the hands of white liberals .	hate
13862647_1	Most of them dont even work , but I have no doubt that some of them will be pushed into high positions in society .	hate
33222250_2	They must have trapped her somehow , and sent her thru the network to Israel .	hate
13458115_1	I looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitors and follow the other followers types .	hate
14085035_1	I dont drive a Ford but I got a s-10 with a 6 inch lift on it 34 inch mickie thompson swampers rollbar and the kc lights on the rollbar .	noHate
13456820_2	Better yet , make her the poster child for Black Resettlement ! Spending her days digging for grub worm dinners would actually be good for her .	hate
13477832_3	When ever I see these white children murdered by these sub humans it makes me so angry I could cry .	hate
31402537_4	I would n't marry a asian even after cirurgy .	hate
14034375_1	the black security guards are racist and look evil and are always giving dirty looks to white customers especially polish customers !	hate
30622613_2	Got a great deal too .	noHate
